"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","Item Response OID","Element OID","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status","CAT OID","Form Item OID"
"LasikQUESLOCTyp","Where are you taking this questionnaire","Unique Data Element","1.0","Where are you taking this questionnaire?","Where are you taking this questionnaire?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3","Home;Doctor's office;Other location","1;2;3","","","","","","Where are you taking this questionnaire?","","LASIK Quality of Life Collaboration Project Pre Op: PRTAKQST v1.0;LASIK Quality of Life Collaboration Project Post Op: POTAKQST v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XJ36jQR17","","","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDBLWOVCScl","Double vis 7 days no corr","Unique Data Element","1.0","In the last 7 days, how often have you seen double images when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how often have you seen double images when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Never;Rarely;Sometimes;Often;Always;I always use glasses or contacts","1;2;3;4;5;6","","","","The next few questions are about double images, which some people call ""ghost"" or ""shadow"" images. By double images, we mean seeing a distorted or blurry visual image.","A47","In the last 7 days, how often have you seen double images when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRDBNOCR v1.0;LASIK Quality of Life Collaboration Project Post Op: PODBNOCR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XyJCxQMe7","","DBL_WOVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHLCLVSNTyp","Healing from LASIK clear vision","Unique Data Element","1.0","After healing from LASIK surgery, I expect that I will have clear vision:","After healing from LASIK surgery, I expect that I will have clear vision:","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;2;3;4;5","With the aid of glasses to see in the distance;With the aid of glasses for reading;With the aid of contact lenses to see in the distance;With the aid of contact lenses for reading;Without glasses or contact lenses","1;2;3;4;5","","","","","A08","After healing from LASIK surgery, I expect that I will have clear vision: (please select all that apply)","","","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X122qQ5xQ","","*","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGVEUPDRVTyp","Gave up driving","Unique Data Element","1.0","If you gave up driving, was that mainly beacuse of your vision, mainly for some other reason, or because of both your vision and other reasons?","If you gave up driving, was that mainly beacuse of your vision, mainly for some other reason, or because of both your vision and other reasons?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3","Mainly vision;Mainly other reasons;Both vision and other reasons","1;2;3","","","","","A13","If you gave up driving, was that mainly beacuse of your vision, mainly for some other reason, or because of both your vision and other reasons?","","LASIK Quality of Life Collaboration Project Pre Op: PRGAVDRV v1.0;LASIK Quality of Life Collaboration Project Post Op: POGAVDRV v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XkI57HAkm","","GVEUPDRV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikWNDYCONDScl","Windy conditions","Unique Data Element","1.0","Windy conditions?","Windy conditions?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3;4","None of the time;Some of the time;Half of the time;Most of the time;All of the time","0;1;2;3;4","","","","During the last 7 days, how often have your eyes felt uncomfortable in:","A82","During the last 7 days, how often have your eyes felt uncomfortable in: Windy conditions?","","LASIK Quality of Life Collaboration Project: PRWINDY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","m1UCHxIe7","","WNDYCOND","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LangCRFAdministratISOCodeOTH","Language form administration ISO code other text","Unique Data Element","1.0","The free-text field related to 'Language used for CRF/instrument/scale/etc. administration ISO code' specifying other text.","The free-text field related to 'Language used for CRF/instrument/scale/etc. administration ISO code' specifying other text.","Alphanumeric","4000","Free-Form Entry","","","","","","","","","Other text for form administration language ISO 639-2 code. Should be used  only if 1) the ISO code is not available under LangCRFAdministratISOCode permissible values or 2) the ISO code is not available at all. If the language is not specified, the default value is 'eng'- English.
","","Other, specify","","ISO 639-2 language codes (http: //www.loc.gov/standards/iso639-2/php/code_list.php)
","Adult and Pediatric","Participant/Subject Characteristics.Demographics","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","2018-06-07","2018-06-11","Published",,
"LasikWRKMSOTHTimDur","Hours missed other reason","Unique Data Element","1.0","During the past seven days, how many hours did you miss from work because of any other reason, such as vacation holidays, time off to participate in this study?","During the past seven days, how many hours did you miss from work because of any other reason, such as vacation holidays, time off to participate in this study?","Numeric Values","","Free-Form Entry","0","168","","","","","","","","A39","During the past seven days, how many hours did you miss from work because of any other reason, such as vacation holidays, time off to participate in this study?","","LASIK Quality of Life Collaboration Project Pre Op: PRMISOTH v1.0;LASIK Quality of Life Collaboration Project Post Op: POMISOTH v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7yPU6tkxQ","","WRKMSOTH","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGLAREInd","Glare in the last 7 days","Unique Data Element","1.0","Have you experienced glare in the last 7 days?","Have you experienced glare in the last 7 days?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2","Yes;No","1;2","","","","","A32","Have you experienced glare in the last 7 days?","","LASIK Quality of Life Collaboration Project Pre Op: PR7DGLAR v1.0;LASIK Quality of Life Collaboration Project Post Op: PO7DGLAR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","71gSEKylm","","GLARE","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikVISNAIDTyp","In a typical day use","Unique Data Element","1.0","In a typical day","In a typical day","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;2;3;4;5;6;7","I use glasses to correct my vision for distance;I use glasses to correct my vision for reading;I use soft contact lenses to correct my vision for distance;I use soft contact lenses to correct my vision for reading;I use hard (rigid gas permeable) contact lenses to correct my vision for distance;I use hard (rigid gas permeable) contact lenses to correct my vision for reading;I do not use glasses or contact lenses","1;2;3;4;5;6;7","","",""," The following question asks about the effect of any problems with your eyes on your ability to perform your regular activities.","A43","In a typical day (please select all that apply)","","LASIK Quality of Life Collaboration Project: PRORIGIN v1.0 (Post-Op)","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikWRKMSVSNTimDur","Hours missed eye problems","Unique Data Element","1.0","During the past seven days, how many hours did you miss from work because of any eye problems? Include hours you missed on sick days, times you went in late, left early, etc., because of your EYE PROBLEM. Do not include time you missed to participate in this study.","During the past seven days, how many hours did you miss from work because of any eye problems?","Numeric Values","","Free-Form Entry","0","168","","","","","","","","A38","During the past seven days, how many hours did you miss from work because of any eye problems? Include hours you missed on sick days, times you went in late, left early, etc., because of your EYE PROBLEM. Do not include time you missed to participate in this study.","","LASIK Quality of Life Collaboration Project Pre Op: PRMISEYE v1.0;LASIK Quality of Life Collaboration Project Post Op: POMISEYE v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mkrQ2YkgX","","WRKMSVSN","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikTHNKScl","Notice eyesight or vision","Unique Data Element","1.0","How often do you notice or think about your eyesight or vision?","How often do you notice or think about your eyesight or vision?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Never;Rarely;Occasionally;Sometimes;All the time","1;2;3;4;5","","","","When you answer the question below, think about the vision correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all.","A03","How often do you notice or think about your eyesight or vision?","","LASIK Quality of Life Collaboration Project Pre Op: PRNOTICE v1.0;LASIK Quality of Life Collaboration Project Post Op: PONOTICE v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Xk8pzVRkm","","THNK","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikINTCOMPScl","Interviewer vs computer","Unique Data Element","1.0","Imagine you had been asked the same questions you were just asked by an interviewer rather than completing them by computer. Compared to answering these questions by an interviewer, how was answering them using the computer today?","Imagine you had been asked the same questions you were just asked by an interviewer rather than completing them by computer. Compared to answering these questions by an interviewer, how was answering them using the computer today?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","A lot easier using the computer;A little easier using the computer;About the same;A little harder using the computer;A lot harder using the computer","1;2;3;4;5","","","","","B17","Imagine you had been asked the same questions you were just asked by an interviewer rather than completing them by computer. Compared to answering these questions by an interviewer, how was answering them using the computer today?","","LASIK Quality of Life Collaboration Project: PRINTCMP v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Q16hMmUgm","","INT_COMP","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSLFASSRDScl","Self confident","Unique Data Element","1.0","I feel self-assured and self-confident.","I feel self-assured and self-confident.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B09","I feel self-assured and self-confident.","","LASIK Quality of Life Collaboration Project: PRSLFCON v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","m1UGyQ8x7","","SLFASSRD","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikTBLSEEBTScl","Bothersome trouble seeing","Unique Data Element","1.0","How bothersome has it been?","How bothersome has it been?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Very;Somewhat;A little;Not at all","1;2;3;4","","","","","A35","How bothersome has it been?","","LASIK Quality of Life Collaboration Project Pre Op: PRTBLBTH v1.0;LASIK Quality of Life Collaboration Project Post Op: POTBLBTH v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","71Rpzjvg7","","TBLSEEBT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikBLRVSNInd","Blurry vision last 7 days","Unique Data Element","1.0","Have you experienced blurry vision in the last 7 days?","Have you experienced blurry vision in the last 7 days?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2","Yes;No","1;2","","","","","A34","Have you experienced blurry vision in the last 7 days?","","LASIK Quality of Life Collaboration Project Pre Op: PR7DBLUR v1.0;LASIK Quality of Life Collaboration Project Post Op: PO7DBLUR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","71p3vt1e7","","BLRVSN","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikLESSSPORTInd","Less active sports","Unique Data Element","1.0","Because of your vision, do you take part less than you would like in active sports or other outdoor activities (like hiking, swimming, aerobics, team sports, or jogging)?","Because of your vision, do you take part less than you would like in active sports or other outdoor activities (like hiking, swimming, aerobics, team sports, or jogging)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2","Yes;No","1;2","","","","","A20","Because of your vision, do you take part less than you would like in active sports or other outdoor activities (like hiking, swimming, aerobics, team sports, or jogging)?","","LASIK Quality of Life Collaboration Project Pre Op: PRLESSPT v1.0;LASIK Quality of Life Collaboration Project Post Op: POLESSPT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","myfyjOJe7","","LESSSPORT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSEEDBL2Typ","Double Images in last 7 days (B)","Unique Data Element","1.0","In the last 7 days, have you seen any double images?","In the last 7 days, have you seen any double images?","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;2;3","Yes, without glasses or contact lenses;Yes, even wearing glasses or contact lenses;No, not at all","1;2;3","","","","The next few questions are about double images, which some people call ""ghost"" or ""shadow"" images. By double images, we mean a distorted or blurry visual image, such as the images shown below. These images many not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A45B","In the last 7 days, have you seen any double images?","","","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikCOMMENTSTxt","Additional comments","Unique Data Element","1.0","Is there anything you'd like to add regarding the quality, length, or administration of this questionnaire? Are there any questions you felt were difficult to understand or answer?","Is there anything you'd like to add regarding the quality, length, or administration of this questionnaire? Are there any questions you felt were difficult to understand or answer?","Alphanumeric","4000","Free-Form Entry","","","","","","","","","","B18","Is there anything you'd like to add regarding the quality, length, or administration of this questionnaire? Are there any questions you felt were difficult to understand or answer?","","LASIK Quality of Life Collaboration Project: PRADDCMT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mkRiQXUe7","","COMMENTS","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikCRNTDRVInd","Currently drive","Unique Data Element","1.0","Do you currently drive?","Do you currently drive?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2","Yes;No","1;2","","","","","A12","Do you currently drive?","","LASIK Quality of Life Collaboration Project Pre Op: PRCURDRV v1.0;LASIK Quality of Life Collaboration Project Post Op: POCURDRV v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QypyXH01m","","CRNTDRV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHLOBWVCScl","Halos correct bothersome","Unique Data Element","1.0","In the last 7 days, how bothersome have the halos been when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how bothersome have the halos been when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about halos. By halos, we mean seeing a fuzzy cloud of light around lighted objects, such as the ones shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A64","In the last 7 days, how bothersome have the halos been when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRHLCRBT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mylEB_EMlX","","HLOB_WVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikCANADAPTScl","Can adapt to situations","Unique Data Element","1.0","I can adapt to new situations.","I can adapt to new situations.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B05","I can adapt to new situations.","","LASIK Quality of Life Collaboration Project: PRADAPT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mJVL6GIgm","","CANADAPT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikQULENGTHScl","Length of questionnaire","Unique Data Element","1.0","How did you feel about the length of the questionnaire?","How did you feel about the length of the questionnaire?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Much too short;A little bit too short;About right;A little bit too long;Much too long","1;2;3;4;5","","","","","B15","How did you feel about the length of the questionnaire?","","LASIK Quality of Life Collaboration Project: PRLENGTH v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Q1wvbmLl7","","QULENGTH","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikLGHTSENSScl","Eyes sensitive to light","Unique Data Element","1.0","Eyes that are sensitive to light?","Eyes that are sensitive to light?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3;4","None of the time;Some of the time;Half of the time;Most of the time;All of the time","0;1;2;3;4","","","","During the last 7 days, how often have you experienced:","A77","During the last 7 days, how often have you experienced: Eyes that are sensitive to light?","","LASIK Quality of Life Collaboration Project: PRLIGHT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XJHENxUgQ","","LIGHTSENS","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSTBBNVCScl","Starburst no correct bthr","Unique Data Element","1.0","In the last 7 days, how bothersome have the starbursts been when you are NOT wearing any vision correction (glasses or contact lenses)?","In the last 7 days, how bothersome have the starbursts been when you are NOT wearing any vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I always use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about starbursts. By starbursts, we mean seeing rays of light coming out from lighted objects, such as in the car headlights in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A73","In the last 7 days, how bothersome have the starbursts been when you are NOT wearing any vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRSTNCBT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QyIdHHGeX","","STBB_NVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikKEEPTRYScl","Keep trying","Unique Data Element","1.0","If I don't master a task right away, I keep trying until I get it right.","If I don't master a task right away, I keep trying until I get it right.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B04","If I don't master a task right away, I keep trying until I get it right.","","LASIK Quality of Life Collaboration Project: PRKPTRY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XJP62zIem","","KEEPTRY","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSEEHLO2Typ","Notice halos last 7 days (B)","Unique Data Element","1.0","In the last 7 days, have you seen any halos?","In the last 7 days, have you seen any halos?","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;2;3","Yes, without glasses or contact lenses;Yes, even wearing glasses or contact lenses;No, not at all","1;2;3","","",""," The next few questions are about halos. By halos, we mean seeing a fuzzy cloud of light around lighted objects, such as the ones shown in the images below. These images may not represent exactly what you see and your
symptoms may be more or less severe than what is shown.","A61B","In the last 7 days, have you seen any halos?","","","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikUSEDDARKScl","Difficult walk into dark","Unique Data Element","1.0","How much difficulty to you have getting used to the dark when you move from a lighted area into a dark place, like walking into a dark movie theater?","How much difficulty to you have getting used to the dark when you move from a lighted area into a dark place, like walking into a dark movie theater?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty","1;2;3;4","","","","","A28","How much difficulty to you have getting used to the dark when you move from a lighted area into a dark place, like walking into a dark movie theater?","","LASIK Quality of Life Collaboration Project Pre Op: PRDARK v1.0;LASIK Quality of Life Collaboration Project Post Op: PODARK v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QkDa1jPlm","","USEDDARK","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSTBBWVCScl","Starburst correct bother","Unique Data Element","1.0","In the last 7 days, how bothersome have the starbursts been when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how bothersome have the starbursts been when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about starbursts. By starbursts, we mean seeing rays of light coming out from lighted objects, such as in the car headlights in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A72","In the last 7 days, how bothersome have the starbursts been when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRSTCRBT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7kj34rfx7","","STBB_WVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"SiteName","Site name","Common Data Element","1.0","The name of the site for the study","The name of the site for the study","Alphanumeric","255","Free-Form Entry","","","","","","","","","Site Name","","Site Name","","GENERAL:
No references available
-----
MG:
No references available
-----
NMD:
No references available
-----
PD:
No references available
-----
SMA:
No references available","Adult and Pediatric","Protocol Experience.Participant/Subject Identification, Eligibility, and Enrollment","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Site name","","","NIH/NINDS/BRICS","","","","","NIH/NINDS/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSEEGLR2Typ","Noticed glare last 7 days (B)","Unique Data Element","1.0","In the last 7 days, have you noticed any glare?","In the last 7 days, have you noticed any glare?","Alphanumeric","","Multiple Pre-Defined Values Selected","","","1;2;3","Yes, without glasses or contact lenses;Yes, even wearing glasses or contact lenses;No, not at all","1;2;3","","","","The next few questions are about glare. By glare, we mean difficulty seeing well when there are bright lights like headlights or sunlight, such as shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A53B","In the last 7 days, have you noticed any glare?","","","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","","","","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikTRYTASKScl","Look forward to new tasks","Unique Data Element","1.0","I look forward to trying a new task.","I look forward to trying a new task.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B08","I look forward to trying a new task.","","LASIK Quality of Life Collaboration Project: PRNEWTSK v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XJiB0zUxQ","","TRYTASK","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGDLISTNRScl","Good listener","Unique Data Element","1.0","No matter whom I'm talking to, I'm always a good listener.","No matter whom I'm talking to, I'm always a good listener.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Definitely true;Mostly true;Don't know;Mostly false;Definitely false","1;2;3;4;5","","","","Listed below is a statement about your relationships with others. How much is this statement TRUE or FALSE for you?","A92","No matter whom I'm talking to, I'm always a good listener.","","LASIK Quality of Life Collaboration Project: PRGDLSTN v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7yix_zLem","","GDLISTNR","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
